"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
10C0001236,DELRAY BEACH SURGERY CENTER,4800 LINTON BOULEVARD BUILDING B,DELRAY BEACH,FL,33445,,(561) 495-9111,97,3,0,98,88,9,3,93,85,12,3,94,85,13,2,94,,1089,397,36,01/01/2023,12/31/2023
10C0001264,TREASURE COAST CENTER FOR SURGERY,1155 SOUTHEAST MONTEREY ROAD EXTENSION,STUART,FL,34994,,(772) 286-8028,97,3,0,98,91,7,2,95,86,11,3,95,86,12,2,94,,1007,381,38,01/01/2023,12/31/2023
10C0001293,WINTER HAVEN AMBULATORY SURGICAL CENTER LLC,325 AVE B NW,WINTER HAVEN,FL,33881,,(469) 893-6573,97,3,0,98,91,7,2,95,92,7,1,96,89,9,2,96,,1146,331,29,01/01/2023,12/31/2023
10C0001302,TAMARAC SURGERY CENTER LLC DBA THE SURGERY CENTER OF FORT LAUDERDALE,4485 NORTH STATE RD 7,LAUDERDALE LAKES,FL,33319,,(954) 735-0096,96,3,1,98,89,8,3,93,83,13,4,93,78,18,4,91,,1239,266,22,01/01/2023,12/31/2023
10C0001304,BARDMOOR SURGERY CENTER LLC,"8787 BRYAN DIARY RD, # 300",LARGO,FL,33777,,(727) 394-6609,97,3,0,99,93,6,1,96,91,8,1,96,91,7,2,96,,2539,854,34,01/01/2023,12/31/2023
10C0001308,FORT MYERS SURGERY CENTER,13051 UNIVERSITY DR SUITE 102,FORT MYERS,FL,33907,,(239) 887-3608,96,3,1,98,90,7,3,94,86,11,3,94,83,15,2,93,,1670,499,30,01/01/2023,12/31/2023
10C0001313,DOCTORS SURGICAL PARTNERSHIP LTD DBA MELBOURNE SAME DAY SURGERY,1035 SOUTH APOLLO BLVD,MELBOURNE,FL,32901,,(321) 434-9134,,,,,,,,,,,,,,,,,4,,,,,
10C0001319,JACKSONVILLE ENDOSCOPY CENTERS LLC DBA JACKSONVILLE CENTER FOR ENDOSCOPY,1610 BARRS ST SUITE B,JACKSONVILLE,FL,32204,,(904) 387-6750,98,2,0,99,92,6,2,95,89,9,2,95,92,7,1,97,,1299,299,23,01/01/2023,12/31/2023
10C0001332,LASER AND SURGERY CENTER OF THE PALM BEACHES,3602 KYOTO GARDENS DR,PALM BEACH GARDENS,FL,33410,,(561) 799-3388,97,3,0,98,88,9,3,93,88,10,2,95,85,13,2,94,,1143,367,32,01/01/2023,12/31/2023
10C0001362,DESTIN SURGERY CENTER LLC,1225 AIRPORT ROAD,DESTIN,FL,32541,,(850) 650-7606,98,2,0,99,94,5,1,96,94,4,2,96,91,8,1,97,,1492,516,35,01/01/2023,12/31/2023
10C0001363,DOCTORS GI PARTNERSHIP LTD DBA MELBOURNE GI CENTER,1051 SOUTH HICKORY ST SUITE K,MELBOURNE,FL,32901,,(513) 319-6256,97,2,1,98,94,4,2,96,87,11,2,94,88,10,2,95,,1874,517,28,01/01/2023,12/31/2023
10C0001371,CHARLOTTE ENDOSCOPIC SURGERY CENTER LLC DBA CHARLOTTE ENDOSCOPIC SURGERY CENTER,23970 SUNCOAST BLVD,PORT CHARLOTTE,FL,33908,,(947) 625-3636,98,2,0,99,92,7,1,95,92,7,1,96,89,9,2,95,,923,408,44,01/01/2023,12/31/2023
10C0001377,OPHTHALMOLOGY SURGERY CENTER OF ORLANDO LLC DBA ORLANDO OPHTHALMOLOGY SURGERY CENTER,105 BONNIE LOCH CT,ORLANDO,FL,32806,,(407) 428-0040,96,3,1,98,90,9,1,95,85,12,3,94,85,12,3,94,,1475,513,35,01/01/2023,12/31/2023
10C0001389,JACKSONVILLE ENDOSCOPY CENTERS LLC DBA JACKSONVILLE CENTER FOR ENDOSCOPY SOUTHSIDE,4800 BELFORT RD,JACKSONVILLE,FL,32256,,(904) 265-4801,97,3,0,98,91,8,1,95,93,6,1,96,92,6,2,97,,1034,225,22,01/01/2023,12/31/2023
10C0001390,CORAL GABLES SURGERY CENTER,"2645 DOUGLAS RD, SUITE 400",MIAMI,FL,33133,,(305) 461-3229,97,2,1,98,91,7,2,95,86,11,3,94,84,12,4,92,,1051,219,21,01/01/2023,12/31/2023
10C0001401,TRINITY SURGERY CENTER LLC DBA BAYCARE SURGERY CENTER,2020 TRINITY OAKS BLVD,TRINITY,FL,34667,,(727) 372-4055,98,2,0,99,94,5,1,96,94,5,1,97,93,6,1,97,,2013,674,33,01/01/2023,12/31/2023
10C0001418,THE SURGERY CENTER AT JENSEN BEACH LLC,3995 NW GOLDENROD RD,JENSEN BEACH,FL,34957,,(772) 497-0020,96,4,0,98,89,9,2,93,89,9,2,95,87,11,2,95,,1080,418,39,01/01/2023,12/31/2023
10C0001428,SOUTH FLORIDA AMBULATORY SURGICAL CENTER LLC,6110 SOUTHWEST 70TH ST,SOUTH MIAMI,FL,33143,,(305) 662-3100,96,3,1,98,90,7,3,94,84,12,4,93,79,19,2,92,,1412,248,18,01/01/2023,12/31/2023
10C0001474,MURDOCK AMBULATORY SURGERY CENTER LLC,1400 EDUCATION WAY,PORT CHARLOTTE,FL,33948,,(941) 625-9800,98,2,0,99,91,6,3,94,92,7,1,97,92,7,1,97,,1006,428,43,01/01/2023,12/31/2023
10C0001486,PARKCREEK ASC LLC,6806 NORTH STATE ROAD 7,COCONUT CREEK,FL,33073,,(000) 000-0000,98,2,0,99,93,5,2,95,91,7,2,96,89,9,2,95,,1335,352,26,01/01/2023,12/31/2023
10C0001496,ADVENTHEALTH SURGERY CENTER WELLSWOOD LLC,513 NORTH ARMENIA AVENUE,TAMPA,FL,33603,,(000) 000-0000,94,5,1,97,88,9,3,93,82,15,3,93,75,21,4,90,,2330,404,17,01/01/2023,12/31/2023
10C0001505,LAKE ENDOSCOPY CENTER LLC,17355 SOUTHEAST 109TH TERRACE RD,SUMMERFIELD,FL,34491,,(352) 671-3909,97,3,0,99,93,5,2,96,90,9,1,96,89,10,1,96,,1022,480,47,01/01/2023,12/31/2023
10C0001512,TLC ASC LLC DBA TLC OUTPATIENT SURGERY AND LASER CENTER,201 WEST GUAVA ST,LADY LAKE,FL,32159,,(352) 391-5875,97,3,0,98,92,6,2,95,90,9,1,95,90,9,1,96,,764,352,46,01/01/2023,12/31/2023
10C0001513,TAMPA MINIMALLY INVASIVE SPINE SURGERY CENTER,5329 PRIMROSE LAKE CIR,TAMPA,FL,33647,,(813) 463-9762,98,2,0,99,93,6,1,96,93,5,2,96,91,7,2,96,,1865,357,19,01/01/2023,12/31/2023
10C0001521,RIVERWALK AMBULATORY SURGERY CENTER,200 3RD AVE WEST SUITE 170,BRADENTON,FL,34205,,(941) 220-6786,96,3,1,98,88,10,2,93,82,16,2,93,77,22,1,92,,866,322,37,01/01/2023,12/31/2023
10C0001528,CORAL RIDGE OUTPATIENT CENTER LLC,5301 NORTH DIXIE HWY.,OAKLAND PARK,FL,33334,,(954) 832-3300,95,4,1,97,92,6,2,95,88,11,1,95,89,10,1,95,,1231,369,30,01/01/2023,12/31/2023
10C0001531,CARILLON SURGERY CENTER LLC,900 CARILLON PARKWAY SUITE 205,ST. PETERSBURG,FL,33716,,(727) 561-2710,97,2,1,98,94,5,1,96,91,8,1,96,90,9,1,96,,2231,632,28,01/01/2023,12/31/2023
10C0001539,SURGERY CENTER OF PEMBROKE PINES LLC DBA BROWARD SPECIALTY SURGICAL CENTER,7261 SHERIDAN ST SUITE 100A,HOLLYWOOD,FL,33024,,(954) 322-4222,97,3,0,98,89,8,3,93,86,13,1,94,84,14,2,94,,1695,285,17,01/01/2023,12/31/2023
10C0001545,SURGICARE OF MIRAMAR LLC,14601 SOUTHWEST 29TH ST SUITE 301,MIRAMAR,FL,33027,,(954) 266-3807,99,1,0,99,94,5,1,96,92,7,1,97,90,8,2,95,,1857,343,18,01/01/2023,12/31/2023
10C0001549,TITUSVILLE CENTER FOR SURGICAL EXCELLENCE LLC,814 SOUTH WASHIGNTON AVE,TITUSVILLE,FL,32796,,(321) 567-6300,99,1,0,99,96,3,1,98,94,5,1,97,94,5,1,98,,778,353,45,01/01/2023,12/31/2023
10C0001559,SAFETY HARBOR ASC COMPANY LLC DBA SAFETY HARBOR SURGERY CENTER,3280 NORTH MCMULLEN BOOTH RD SUITE 110,CLEARWATER,FL,33761,,(727) 787-3000,98,2,0,99,93,6,1,96,92,7,1,96,91,7,2,96,,1282,499,39,01/01/2023,12/31/2023
10C0001560,SURGCENTER PINELLAS LLC,12416 66TH ST. N STE. D,LARGO,FL,33773,,(727) 408-5310,96,4,0,98,89,9,2,94,85,13,2,94,84,14,2,94,,970,336,35,01/01/2023,12/31/2023
10C0001571,SURGERY CENTRE OF SW FLORIDA LLC,665 DEL PRADO BLVD S.,CAPE CORAL,FL,33990,,(239) 772-3636,97,3,0,98,88,8,4,92,84,14,2,94,83,15,2,93,,1119,361,32,01/01/2023,12/31/2023
10C0001576,THE OUTPATIENT CENTER OF DELRAY,4675 LINTON BLVD STE 101,DELRAY BEACH,FL,33445,,(561) 499-9585,94,5,1,96,92,5,3,94,82,15,3,93,81,17,2,92,,1085,303,28,01/01/2023,12/31/2023
10C0001577,ADVANCED SURGERY CENTER OF SARASOTA LLC,2621 CATTLEMEN RD SUITE 100,SARASOTA,FL,34232,,(941) 444-5510,98,2,0,99,91,8,1,95,92,6,2,96,92,7,1,97,,1411,603,43,01/01/2023,12/31/2023
10C0001578,SURGCENTER NORTHEAST LLC,"2438 DR. MARTIN LUTHER KING JR. ST. N, STE. C",ST PETERSBURG,FL,33704,,(727) 565-0740,97,3,0,98,90,8,2,94,88,8,4,95,89,9,2,95,,843,253,30,01/01/2023,12/31/2023
10C0001579,SURGCENTER OF ORANGE PARK LLC,"1465 KINGSLEY AVE., STE. 1201",ORANGE PARK,FL,32073,,(904) 385-4854,,,,,,,,,,,,,,,,,4,,,,,
10C0001582,LONGLEAF SURGERY CENTER,3010 STARKEY BLVD,NEW PORT RICHEY,FL,34655,,(727) 372-0600,99,1,0,99,92,6,2,95,90,9,1,96,87,10,3,94,,1150,375,33,01/01/2023,12/31/2023
10C0001586,MARION SURGERY CENTER LLC,2207 SW 1ST AVE,OCALA,FL,34471,,(352) 732-4020,95,4,1,97,89,9,2,93,87,11,2,94,84,14,2,94,,1258,499,40,01/01/2023,12/31/2023
10C0001588,SURGCENTER OF PALM BEACH GARDENS LLC,900 VILLAGE SQUARE CROSSING SUITE 100,PALM BEACH GARDENS,FL,33410,,(561) 429-6880,98,2,0,99,89,10,1,94,91,7,2,95,85,12,3,93,,1007,252,25,01/01/2023,12/31/2023
10C0001589,ADVANCED SURGERY CENTER OF TAMPA LLC,1881 W. KENNEDY BLVD,TAMPA,FL,33606,,(813) 693-5000,96,3,1,98,93,6,1,96,86,11,3,94,87,12,1,95,,878,209,24,01/01/2023,12/31/2023
10C0001596,SEASIDE SURGERY CENTER,1879 VETERANS PARK DR SUITE 1101,NAPLES,FL,34109,,(239) 592-4955,98,2,0,99,93,6,1,96,94,5,1,97,92,7,1,97,,1116,592,53,01/01/2023,12/31/2023
10C0001600,ADVENTHEALTH SURGERY CENTER DAVENPORT LLC,107 PARK PLACE BOULEVARD,DAVENPORT,FL,33837,,(863) 419-2812,,,,,,,,,,,,,,,,,4,,,,,
10C0001601,SELECT PHYSICIANS SURGERY CENTER,3440 WEST MARTIN LUTHER KING JR BLVD SUITE 103,TAMPA,FL,33607,,(813) 321-1618,96,3,1,98,90,8,2,94,88,10,2,95,86,12,2,94,,1388,301,22,01/01/2023,12/31/2023
10C0001608,SURGCENTER OF ST. LUCIE,10521 SOUTHWEST VILLAGE CENTER DR #104,PORT ST. LUCIE,FL,34987,,(772) 345-8600,96,4,0,98,92,6,2,95,89,9,2,95,86,13,1,94,,1137,414,36,01/01/2023,12/31/2023
10C0001609,ADVANCED CENTER FOR SURGERY VERO BEACH DBA THE ADVANCED CENTER FOR SURGERY,1355 37TH STREET SUITE 304,VERO BEACH,FL,32960,,(000) 000-0000,97,3,0,98,91,8,1,95,93,5,2,96,90,9,1,96,,1110,411,37,01/01/2023,12/31/2023
10C0001612,MIAMI SURGICAL SUITES LLC,9035 SUNSET DR SUITE 200,MIAMI,FL,33173,,(786) 615-6210,96,4,0,98,92,6,2,95,91,8,1,96,89,9,2,95,,1320,253,19,01/01/2023,12/31/2023
10C0001623,WELLINGTON EDOSCOPY CENTER,1157 SOUTH STATE ROAD 7,WELLINGTON,FL,33414,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
10C0001637,INTRACOASTAL SURGERY CENTER LLC,2200 WEST EAU GALLIE BLVD SUITE 100,MELBOURNE,FL,32935,,(321) 610-3460,97,2,1,98,93,6,1,96,88,10,2,95,86,12,2,94,,1571,499,32,01/01/2023,12/31/2023
10C0001645,SURGCENTER CLEARWATER LLC DBA SURGCENTER DUNEDIN,980 MILWAUKEE AVE,DUNEDIN,FL,34698,,(727) 733-4610,97,3,0,98,90,7,3,94,90,8,2,95,87,10,3,94,,1181,420,36,01/01/2023,12/31/2023
10C0001646,SKYWAY SURGERY CENTER LLC,625 6TH AVE SOUTH,ST PETERSBURG,FL,33701,,(727) 440-4888,97,3,0,99,90,8,2,94,95,4,1,97,91,7,2,96,,889,317,36,01/01/2023,12/31/2023
10C0001660,HSS PALM BEACH AMBULATORY SURGERY CENTER,: 300 PALM BEACH LAKES BOULEVARD,WEST PALM BEACH,FL,33401,,(000) 000-0000,98,2,0,99,94,5,1,96,94,5,1,97,93,6,1,97,,1336,523,39,01/01/2023,12/31/2023
10C0001668,ADVANCED SURGICAL CARE OF CLEARWATER,93 PARK PLACE BOULEVARD SUITE 102,CLEARWATER,FL,33759,,(727) 742-3564,,,,,,,,,,,,,,,,,4,,,,,
10C0001669,MINIMALLY INVASIVE SURGICENTER,6646 WEST ATLANTIC AVENUE,DELRAY BEACH,FL,33446,,(561) 638-9533,,,,,,,,,,,,,,,,,4,,,,,
10C0001671,FLORIDA SPRINGS SURGERY CENTER LLC,366 BEVERLY COURT,SPRING HILL,FL,34606,,(352) 600-0220,,,,,,,,,,,,,,,,,4,,,,,
10C0001693,ASC OF TRINITY DBA COMPREHENSIVE OUTPATIENT JOINT AND SPINE INSTITUTE,15238 VIRGINIA STATION,ODESSA,FL,33556,,(813) 596-5200,,,,,,,,,,,,,,,,,4,,,,,
10C0001709,ADVENTHEALTH SURGERY CENTER MILLS PARK LLC,1812 NORTH MILLS AVENUE SUITE 210,ORLANDO,FL,32803,,(407) 420-0100,,,,,,,,,,,,,,,,,4,,,,,
11C0001006,EMORY HEALTHCARE,"1365 CLIFTON RD, NE SUITE BT200",ATLANTA,GA,30322,,(404) 778-3348,,,,,,,,,,,,,,,,,4,,,,,
11C0001015,SURGERY CENTER OF ROME LP,16 JOHN MADDOX DR,ROME,GA,30165,,(706) 802-3727,,,,,,,,,,,,,,,,,4,,,,,
11C0001049,RESURGENS SURGERY CENTER LLC,5671 PEACHTREE DUNWOODY RD SUITE 800,ATLANTA,GA,30342,,(404) 531-8532,97,3,0,98,95,4,1,97,93,5,2,96,91,8,1,96,,1336,377,28,01/01/2023,12/31/2023
11C0001056,THE ENDOSCOPY CENTER OF SOUTHEAST GEORGIA INC,200 MAPLE DR,VIDALIA,GA,30474,,(912) 538-1003,97,3,0,98,95,4,1,97,91,7,2,95,93,6,1,97,,899,151,17,01/01/2023,12/31/2023
11C0001085,NORTHWEST GEORGIA ORTHOPAEDIC SURGERY CENTER LLC,2550 WINDY HILL RD SOUTHEAST SUITE 218,MARIETTA,GA,30067,,(770) 953-8058,98,2,0,99,91,7,2,95,88,9,3,94,86,11,3,94,,1241,273,22,01/01/2023,12/31/2023
11C0001177,EAST WEST SURGERY CENTER LP,2041 MESA VALLEY WAY SUITE 125,AUSTELL,GA,30106,,(678) 309-8100,97,3,0,98,90,8,2,94,88,10,2,94,86,12,2,95,,1133,295,26,01/01/2023,12/31/2023
11C0001182,ROSWELL SURGERY CENTER LLC,1285 HEMBREE RD SUITE 200C,ROSWELL,GA,30076,,(770) 772-5520,99,1,0,100,95,4,1,97,96,3,1,98,93,6,1,97,,1224,346,28,01/01/2023,12/31/2023
11C0001192,LAWRENCEVILLE SURGERY CENTER LLC,758 OLD NORCROSS RD SUITE 125,LAWRENCEVILLE,GA,30046,,(678) 987-0820,99,1,0,99,94,5,1,96,94,5,1,97,92,7,1,97,,1254,334,27,01/01/2023,12/31/2023
11C0001234,ORTHOPAEDIC SOUTH SURGICAL CENTER,6645 LAKE DR,MORROW,GA,30260,,(678) 422-4230,98,2,0,99,93,5,2,96,95,3,2,96,91,6,3,96,,1732,451,26,01/01/2023,12/31/2023
11C0001245,ENDSOCOPY CENTER OF MIDDLE GEORGIA LLC,610 THIRD ST,MACON,GA,31201,,(478) 464-2600,,,,,,,,,,,,,,,,,4,,,,,
11C0001257,OPTIMUM SPINE CENTER LLC,"5555 PEACHTREE DUNWOODY ROAD, SUITE G99",ATLANTA,GA,30342,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
11C0001258,THOMAS EYE SURGERY CENTER LLC,5995 BARFIELD RD,SANDY SPRINGS,GA,30328,,(678) 781-7388,93,6,1,96,85,12,3,91,80,15,5,92,80,15,5,91,,2222,445,20,01/01/2023,12/31/2023
11C0001279,SURGICAL CENTER FOR UROLOGY LLC,290 COUNTRY CLUB DR SUITE 240,STOCKBRIDGE,GA,30281,,(678) 565-1806,98,1,1,99,89,8,3,93,92,7,1,96,91,8,1,96,,1623,346,22,01/01/2023,12/31/2023
11C0001368,NORTH COLUMBUS SURGERY CENTER LLC,7351 OLD MOON RD,COLUMBUS,GA,31909,,(706) 653-7000,98,2,0,99,93,6,1,97,79,19,2,94,86,13,1,95,2,2438,414,17,01/01/2023,12/31/2023
11C0001370,GEORGIA SPINE SURGERY CENTER LLC DBA GNS SURGERY CENTER,1061 DOWDY RD SUITE 103,ATHENS,GA,30606,,(706) 543-9222,99,1,0,100,93,6,1,96,99,1,0,98,97,3,0,99,,366,129,35,01/01/2023,12/31/2023
11C0001383,HUGHSTON SURGICAL CENTER LLC,6262 VETERANS PKWY UNIT. B,COLUMBUS,GA,31909,,(706) 494-3434,96,3,1,98,91,8,1,95,92,8,0,97,93,5,2,97,,1199,371,31,01/01/2023,12/31/2023
11C0001460,RESURGENS EAST SURGERY CENTER LLC,3241 IRIS DR SUITE 100,COVINGTON,GA,30016,,(678) 712-7624,99,1,0,99,94,5,1,97,95,3,2,97,90,9,1,96,,1171,272,23,01/01/2023,12/31/2023
11C0001472,RESURGENS FAYETTE SURGERY CENTER LLC,1336 HWY 54 WEST BUILDING 400 SUITE A,FAYETTEVILLE,GA,30214,,(678) 251-0200,98,2,0,99,93,6,1,96,96,4,0,98,92,6,2,96,,1352,420,31,01/01/2023,12/31/2023
11C0001508,REGENERATIVE ORTHOPAEDICS SURGERY CENTER LLC,135 NORTH PARK PL SUITE 100,STOCKBRIDGE,GA,30281,,(470) 615-7646,,,,,,,,,,,,,,,,,4,,,,,
11C0001564,BRASELTON ASC LLC,1524 RIVER PLACE SUITE 100,BRASELTON,GA,30517,,(770) 848-1730,,,,,,,,,,,,,,,,,4,,,,,
12C0001012,KAISER PERMANENTE HONOLULU CLINIC ASC,1010 PENSACOLA ST,HONOLULU,HI,96814,,(808) 597-2611,98,2,0,99,93,6,1,96,89,9,2,96,88,10,2,95,,2627,939,36,01/01/2023,12/31/2023
12C0001023,MINIMALLY INVASIVE SURGERY HAWAII,1401 SOUTH BERETANIA ST SUITE 600,HONOLULU,HI,96814,,(808) 356-5658,99,1,0,100,90,9,1,94,97,3,0,98,92,8,0,97,,808,320,40,01/01/2023,12/31/2023
12C0001100,KAISER WAILUKU CLINIC ASC,80 MAHALANI ST,WAILUKU,HI,96793,,(808) 243-6000,98,2,0,99,95,5,0,98,90,9,1,95,88,11,1,95,,1475,451,31,01/01/2023,12/31/2023
13C0001037,KOOTENAI OUTPATIENT SURGERY,707 WEST IRONWOOD DR,COEUR D ALENE,ID,83814,,(308) 625-6428,99,1,0,99,93,6,1,96,91,8,1,95,86,13,1,95,,1773,507,29,01/01/2023,12/31/2023
13C0001064,IDAHO PHYSICAL MEDICINE AND REHABILITATION PA,3551 EAST OVERLAND RD,MERIDIAN,ID,83642,,(208) 287-6558,98,2,0,99,95,4,1,97,89,9,2,95,90,6,4,95,,1092,282,26,01/01/2023,12/31/2023
14C0001030,RIVER NORTH SAME DAY SURGERY LLC,1 EAST ERIE ST SUITE 300,CHICAGO,IL,60611,,(312) 649-9706,,,,,,,,,,,,,,,,,4,,,,,
14C0001041,NORTH SHORE SAME DAY SURGERY DBA NORTH SHORE SURGICAL CENTER,3427 WEST TOUHY AVE,LINCOLNWOOD,IL,60712,,(847) 324-7770,94,5,1,96,93,6,1,96,78,18,4,91,76,20,4,90,,1493,504,34,01/01/2023,12/31/2023
14C0001059,ROCKFORD GASTROENTEROLOGY ASSOCIATES LTD,401 ROXBURY RD,ROCKFORD,IL,61107,,(815) 484-7930,99,1,0,99,86,11,3,91,90,9,1,96,90,8,2,96,,1810,353,20,01/01/2023,12/31/2023
14C0001074,EFFINGHAM SURGICAL PARTNERS LLC,904 W. TEMPLE AVE.,EFFINGHAM,IL,62401,,(217) 342-1234,98,2,0,99,95,4,1,97,95,4,1,98,92,8,0,97,,974,417,43,01/01/2023,12/31/2023
14C0001157,PHYSICIANS SURGERY CENTER AT GOOD SAMARITAN LLC,"2 GOOD SAMARITAN WAY, STE. 200",MOUNT VERNON,IL,62864,,(618) 899-5703,98,2,0,99,91,8,1,95,88,10,2,95,79,19,2,92,,1127,372,33,01/01/2023,12/31/2023
14C0001172,SILVER CROSS AMBULATORY SURGERY CENTER LLC DBA SILVER CROSS SURGERY CENTER,1003 PAWLAK PARKWAY,NEW LENOX,IL,60451,,(815) 717-1740,98,1,1,99,93,6,1,96,93,6,1,97,90,9,1,96,,1299,445,34,01/01/2023,12/31/2023
15C0001158,TERRE HAUTE SURGICAL CENTER LLC,227 EAST MCCALLISTER DR,TERRE HAUTE,IN,47802,,(812) 234-4315,,,,,,,,,,,,,,,,,4,,,,,
15C0001169,BLOOMINGTON ASC LLC DBA INDIANA SPECIALTY SURGERY CENTER,1380 WEST ARCH HAVEN AVE,BLOOMINGTON,IN,47408,,(812) 330-1164,98,2,0,99,93,6,1,96,92,8,0,97,90,10,0,97,,839,314,37,01/01/2023,12/31/2023
15C0001174,METRO SPECIALTY SURGERY CENTER LLC,"200 MISSOURI AVE, STE. A",JEFFERSONVILLE,IN,47130,,(812) 920-0055,98,2,0,99,90,8,2,94,92,8,0,96,91,8,1,97,,1207,340,28,01/01/2023,12/31/2023
15C0001181,COLUMBUS SPECIALTY SURGERY CENTER LLC,2425 NORTHPARK DR. STE 20,COLUMBUS,IN,47203,,(813) 657-7800,,,,,,,,,,,,,,,,,4,,,,,
15C0001182,CARMEL SPECIALTY SURGERY CENTER,11590 NORTH MERIDIAN ST SUITE 130,CARMEL,IN,46032,,(317) 660-0260,98,2,0,99,91,7,2,95,90,10,0,96,89,10,1,96,,1260,413,33,01/01/2023,12/31/2023
15C0001184,MUNSTER SPECIALTY SURGERY CENTER,9200 CALUMET AVE SUITE S100,MUNSTER,IN,46321,,(219) 595-0789,98,2,0,99,92,7,1,95,88,11,1,95,87,12,1,95,,847,268,32,01/01/2023,12/31/2023
15C0001186,MIDWEST SPECIALTY SURGERY CENTER LLC,6920 GATWICK DR STE 100,INDIANAPOLIS,IN,46241,,(317) 821-0000,99,1,0,99,92,7,1,95,92,7,1,97,95,4,1,98,,657,342,52,01/01/2023,12/31/2023
15C0001188,NORTHWEST REGIONAL SURGERY CENTER LLC,"8900 BROADWAY, SUITE 100W",MERRILLVILLE,IN,46410,,(219) 576-6260,98,2,0,99,90,8,2,94,90,8,2,95,85,13,2,94,,1134,383,34,01/01/2023,12/31/2023
15C0001190,ADVANCED REGIONAL SURGERY CENTER LLC,"360 MISSOURI AVE, 19A, SUITE 102",JEFFERSONVILLE,IN,47130,,(817) 722-1480,98,2,0,99,91,8,1,95,86,12,2,94,83,15,2,94,,1495,357,24,01/01/2023,12/31/2023
15C0001202,GREAT LAKES SURGICAL SUITES LLC DBA GREAT LAKES SURGICAL SUITES,9200 CALUMET AVE SUITE N500,MUNSTER,IN,46321,,(219) 513-9955,94,6,0,97,89,9,2,94,83,14,3,93,79,17,4,91,,874,290,33,01/01/2023,12/31/2023
15C0001212,SOUTH SUBURBAN SURGICAL SUITES,9200 CALUMET AVENUE SUITE E-100,MUNSTER,IN,46321,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
15C0001214,FRANCISCAN LAKESHORE ASC LLC,12800 MISSISSIPPI PARKWAY PARVILION C,CROWN POINT,IN,46307,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
15C0001218,LANDMARK SURGICAL SUITES LLC,2990 GOTTBRATH PARKWAY,JEFFERSONVILLE,IN,47130,,(502) 553-4999,,,,,,,,,,,,,,,,,4,,,,,
16C0001034,MERCY SURGERY CENTER LLC,1195 BOYSON RD SUITE 3,HIAWATHA,IA,52233,,(319) 369-4764,98,2,0,99,92,7,1,95,91,8,1,96,88,11,1,95,,1425,539,38,01/01/2023,12/31/2023
17C0001054,SHAWNEE MISSION SURGERY CENTER LLC,"9301 W. 74TH ST., STE. 300",SHAWNEE MISSION,KS,66204,,(913) 632-9330,,,,,,,,,,,,,,,,,4,,,,,
17C0001082,SHAWNEE MISSION PRAIRIE STAR SURGERY CENTER LLC,"23401 PRAIRIE STAR PARKWAY, STE. B200",LENEXA,KS,66227,,(913) 676-8556,,,,,,,,,,,,,,,,,4,,,,,
17C0001083,EPIC SURGERY CENTER,11261 NALL AVE SUITE 200,LEAWOOD,KS,66211,,(913) 671-3290,98,2,0,99,89,9,2,93,91,8,1,96,86,13,1,95,,898,332,37,01/01/2023,12/31/2023
17C0001103,SAINT LUKES SOUTH PAIN MANAGEMENT CENTER LLC,7651 WEST 159TH STREET,OVERLAND PARK,KS,66223,,(913) 323-9060,97,3,0,98,81,16,3,89,88,9,3,95,87,11,2,94,,1068,389,36,01/01/2023,12/31/2023
19C0001010,EYE CARE SURGERY CENTER INC,10423 OLD HAMMOND HWY,BATON ROUGE,LA,70816,,(225) 932-0070,98,2,0,99,92,6,2,95,87,10,3,95,89,9,2,96,,1664,420,26,01/01/2023,12/31/2023
19C0001053,METAIRIE OPHTHALMOLOGY ASC LLC,3900 VETERANS BLVD. #100,METAIRIE,LA,70002,,(504) 455-1550,96,3,1,98,91,7,2,95,84,13,3,94,88,10,2,95,,1472,364,25,01/01/2023,12/31/2023
19C0001085,LAKE AMBULATORY SURGERY CTR,7145 PERKINS RD,BATON ROUGE,LA,70808,,(225) 408-5548,97,2,1,98,91,7,2,95,87,11,2,95,88,11,1,96,2,1102,270,25,01/01/2023,12/31/2023
